00> [OTA] seq=114 , [RX] 0x18DA03F1, 22 D0 02 2C 14 D0 03 2C
00> [OTA] seq=115 , [RX] 0x18DA03F1, 23 24 D1 1A E0 20 48 00
00> [OTA] seq=116 , [RX] 0x18DA03F1, 29 00 78 C0 F3 40 10 80
00> [OTA] seq=117 , [RX] 0x18DA03F1, 2A F0 01 00 80 F0 01 05
00> [OTA] seq=118 , [RX] 0x18DA03F1, 2B 12 E0 12 48 00 78 C0
00> [OTA] seq=119 , [RX] 0x18DA03F1, 21 28 46 70 BD 2E 2E 5C
00> [OTA] seq=120 , [RX] 0x18DA03F1, 22 2E 2E 5C 64 72 69 76
00> [OTA] seq=121 , [RX] 0x18DA03F1, 23 65 72 5C 73 72 63 5C
00> [OTA] seq=122 , [RX] 0x18DA03F1, 24 68 63 33 32 66 34 36
00> [OTA] seq=123 , [RX] 0x18DA03F1, 11 02 36 08 30 5F 63 6C
00> [OTA] seq=124 , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=125 , [TX] 0x18DAF103, 02 76 08 AA AA AA AA AA (ACK, seq=8)
00> [OTA] seq=126 , [RX] 0x18DA03F1, 21 6B 2E 63 00 3C 40 05
00> [OTA] seq=127 , [RX] 0x18DA03F1, 22 40 38 B5 04 46 00 20
00> [OTA] seq=128 , [RX] 0x18DA03F1, 28 A0 00 F0 07 FA 00 BF
00> [OTA] seq=129 , [RX] 0x18DA03F1, 29 44 BB 28 48 26 30 00
00> [OTA] seq=130 , [RX] 0x18DA03F1, 2A 78 00 F0 07 00 08 B9
00> [OTA] seq=131 , [RX] 0x18DA03F1, 20 78 20 F0 01 00 40 1C
00> [OTA] seq=132 , [RX] 0x18DA03F1, 21 1A 49 81 F8 36 00 22
00> [OTA] seq=133 , [RX] 0x18DA03F1, 22 E0 18 48 36 30 00 78
00> [OTA] seq=134 , [RX] 0x18DA03F1, 28 20 FF F7 53 FF 01 28
00> [OTA] seq=135 , [RX] 0x18DA03F1, 29 01 D1 00 25 06 E0 00
00> [OTA] seq=136 , [RX] 0x18DA03F1, 2A 98 40 1C 00 90 00 98
00> [OTA] seq=137 , [RX] 0x18DA03F1, 2B B0 F5 80 5F F1 D3 00
00> [OTA] seq=138 , [RX] 0x18DA03F1, 21 2E 2E 5C 2E 2E 5C 64
00> [OTA] seq=139 , [RX] 0x18DA03F1, 22 72 69 76 65 72 5C 73
00> [OTA] seq=140 , [RX] 0x18DA03F1, 23 72 63 5C 68 63 33 32
00> [OTA] seq=141 , [RX] 0x18DA03F1, 24 66 34 36 30 5F 63 6C
00> [OTA] seq=142 , [RX] 0x18DA03F1, 11 02 36 09 6B 2E 63 00
00> [OTA] seq=143 , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=144 , [TX] 0x18DAF103, 02 76 09 AA AA AA AA AA (ACK, seq=9)
00> [OTA] seq=145 , [RX] 0x18DA03F1, 21 00 41 05 40 10 B5 04
00> [OTA] seq=146 , [RX] 0x18DA03F1, 22 46 00 BF 0C B1 01 2C
00> [OTA] seq=147 , [RX] 0x18DA03F1, 28 F8 00 01 64 F3 C7 10
00> [OTA] seq=148 , [RX] 0x18DA03F1, 29 C1 F8 00 01 08 46 B0
00> [OTA] seq=149 , [RX] 0x18DA03F1, 2A F8 FE 03 4F F6 FE 71
00> [OTA] seq=150 , [RX] 0x18DA03F1, 20 66 34 36 30 5F 63 6C
00> [OTA] seq=151 , [RX] 0x18DA03F1, 21 6B 2E 63 00 FE 43 05
00> [OTA] seq=152 , [RX] 0x18DA03F1, 22 40 00 40 05 40 10 B5
00> [OTA] seq=153 , [RX] 0x18DA03F1, 23 86 B0 04 46 00 20 05
00> [OTA] seq=154 , [RX] 0x18DA03F1, 29 00 DC 04 E0 4F F4 77
00> [OTA] seq=155 , [RX] 0x18DA03F1, 2A 71 2F A0 00 F0 47 F9
00> [OTA] seq=156 , [RX] 0x18DA03F1, 2B 00 BF 35 48 2C 49 08
00> [OTA] seq=157 , [RX] 0x18DA03F1, 2C 61 35 48 00 78 00 F0
00> [OTA] seq=158 , [RX] 0x18DA03F1, 11 02 36 0A FE 03 08 46
00> [OTA] seq=159 , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=160 , [TX] 0x18DAF103, 02 76 0A AA AA AA AA AA (ACK, seq=10)
00> [OTA] seq=161 , [RX] 0x18DA03F1, 21 90 F8 26 00 64 F3 02
00> [OTA] seq=162 , [RX] 0x18DA03F1, 22 00 81 F8 26 00 08 46
00> [OTA] seq=163 , [RX] 0x18DA03F1, 28 98 B0 F5 00 7F F8 D3
00> [OTA] seq=164 , [RX] 0x18DA03F1, 29 0C 49 04 98 08 60 03
00> [OTA] seq=165 , [RX] 0x18DA03F1, 2A 98 48 60 02 98 88 60
00> [OTA] seq=166 , [RX] 0x18DA03F1, 2B 01 98 C8 60 11 48 40
00> [OTA] seq=167 , [RX] 0x18DA03F1, 21 2E 2E 5C 2E 2E 5C 64
00> [OTA] seq=168 , [RX] 0x18DA03F1, 22 72 69 76 65 72 5C 73
00> [OTA] seq=169 , [RX] 0x18DA03F1, 23 72 63 5C 68 63 33 32
