00> [OTA] seq=5516, time= 49.879s, [RX] 0x18DA03F1, 26 1F 4F F4 F8 20 01 F0 <-- CF
00> [OTA] seq=5517, time= 49.879s, [RX] 0x18DA03F1, 27 92 FC 04 46 B4 F1 5A <-- CF
00> [OTA] seq=5518, time= 49.879s, [RX] 0x18DA03F1, 28 3F 02 D1 4F F0 A5 30 <-- CF
00> [OTA] seq=5519, time= 49.879s, [RX] 0x18DA03F1, 29 01 E0 4F F0 5A 30 05 <-- CF
00> [OTA] seq=5520, time= 49.879s, [RX] 0x18DA03F1, 2A 46 00 F0 34 FD 01 20 <-- CF
00> [OTA] seq=5521, time= 49.879s, [RX] 0x18DA03F1, 2B 00 F0 AF FB 00 BF 4F <-- CF
00> [OTA] seq=5522, time= 49.879s, [RX] 0x18DA03F1, 2C F4 80 70 00 F0 D4 FB <-- CF
00> [OTA] seq=5523, time= 49.879s, [RX] 0x18DA03F1, 2D 01 28 F9 D1 4F F4 F8 <-- CF
00> [OTA] seq=5524, time= 49.879s, [RX] 0x18DA03F1, 2E 20 00 F0 0E FC 29 46 <-- CF
00> [OTA] seq=5525, time= 49.879s, [RX] 0x18DA03F1, 2F 4F F4 F8 20 00 F0 B3 <-- CF
00> [OTA] seq=5526, time= 49.879s, [RX] 0x18DA03F1, 20 FC 00 F0 FB FB 00 BF <-- CF
00> [OTA] seq=5527, time= 49.902s, [RX] 0x18DA03F1, 21 00 BF 00 BF 00 BF 00 <-- CF
00> [OTA] seq=5528, time= 49.907s, [RX] 0x18DA03F1, 22 BF BF F3 4F 8F 00 BF <-- CF
00> [OTA] seq=5529, time= 49.908s, [RX] 0x18DA03F1, 23 00 BF 00 BF 0A 48 00 <-- CF
00> [OTA] seq=5530, time= 49.914s, [RX] 0x18DA03F1, 24 68 00 F4 E0 60 09 49 <-- CF
00> [OTA] seq=5531, time= 49.916s, [RX] 0x18DA03F1, 25 08 43 00 1D 06 49 08 <-- CF
00> [OTA] seq=5532, time= 49.921s, [RX] 0x18DA03F1, 26 60 00 BF 00 BF 00 BF <-- CF
00> [OTA] seq=5533, time= 49.925s, [RX] 0x18DA03F1, 27 BF F3 4F 8F 00 BF 00 <-- CF
00> [OTA] seq=5534, time= 49.928s, [RX] 0x18DA03F1, 28 BF 00 BF 00 BF 00 BF <-- CF
00> [OTA] seq=5535, time= 49.952s, [RX] 0x18DA03F1, 29 FD E7 00 00 0C ED 00 <-- CF
00> [OTA] seq=5536, time= 49.957s, [RX] 0x18DA03F1, 2A E0 00 00 FA 05 2D E9 <-- CF
00> [OTA] seq=5537, time= 49.961s, [RX] 0x18DA03F1, 2B F0 47 05 46 0E 46 14 <-- CF
00> [OTA] seq=5538, time= 49.963s, [RX] 0x18DA03F1, 2C 46 00 27 00 21 28 46 <-- CF
